Observation id	08.19.21_ Set 2_ Cage B_ 1_Mated							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/08.19.21/Set 2/Cage B/1.mp4							
								
Observation date	2021-10-19 17:39:51							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
380.656	/Volumes/LaCie/08.19.21/Set 2/Cage B/1.mp4	553.870	30.0	female	genital contact			START
397.417	/Volumes/LaCie/08.19.21/Set 2/Cage B/1.mp4	553.870	30.0	female	genital contact			STOP
531.255	/Volumes/LaCie/08.19.21/Set 2/Cage B/1.mp4	553.870	30.0	female	genital contact			START
542.262	/Volumes/LaCie/08.19.21/Set 2/Cage B/1.mp4	553.870	30.0	female	genital contact			STOP
