Observation id	08.23.21_ Cage B_ 3_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/08.23.21/Cage B/3.mp4							
								
Observation date	2021-12-02 12:18:47							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
305.602	/Volumes/LaCie/08.23.21/Cage B/3.mp4	528.100	30.0	female	mating			START
324.104	/Volumes/LaCie/08.23.21/Cage B/3.mp4	528.100	30.0	female	mating			STOP
