Observation id	08.20.21_ Set 2_ Cage B_ 1_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/08.20.21/Set 2/Cage B/1.mp4							
								
Observation date	2021-11-17 14:05:30							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
90.479	/Volumes/LaCie/08.20.21/Set 2/Cage B/1.mp4	513.370	30.0	female	mating			START
102.238	/Volumes/LaCie/08.20.21/Set 2/Cage B/1.mp4	513.370	30.0	female	mating			STOP
163.468	/Volumes/LaCie/08.20.21/Set 2/Cage B/1.mp4	513.370	30.0	female	mating			START
163.719	/Volumes/LaCie/08.20.21/Set 2/Cage B/1.mp4	513.370	30.0	female	mating			STOP
