Observation id	08.20.21_ Set 1_ Cage A_ 1_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/08.20.21/Set 1/Cage A/1.mp4							
								
Observation date	2021-11-03 10:52:58							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
124.118	/Volumes/LaCie/08.20.21/Set 1/Cage A/1.mp4	587.170	30.0	female	mating			START
137.117	/Volumes/LaCie/08.20.21/Set 1/Cage A/1.mp4	587.170	30.0	female	mating			STOP
