Observation id	08.20.21_ Set 2_ Cage B_ 2_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/08.20.21/Set 2/Cage B/2.mp4							
								
Observation date	2021-11-17 14:30:08							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
88.871	/Volumes/LaCie/08.20.21/Set 2/Cage B/2.mp4	540.030	30.0	female	mating			START
101.366	/Volumes/LaCie/08.20.21/Set 2/Cage B/2.mp4	540.030	30.0	female	mating			STOP
