Observation id	09.13.21_ Cage Wo_ 1_Virgin							
								
Media file(s)								
								
Player #1	/Volumes/LaCie/09.13.21/Cage Wo/1.mp4							
								
Observation date	2022-01-10 12:23:19							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
272.163	/Volumes/LaCie/09.13.21/Cage Wo/1.mp4	503.200	30.0	female	mating			START
288.161	/Volumes/LaCie/09.13.21/Cage Wo/1.mp4	503.200	30.0	female	mating			STOP
